location_id,location_name,tract_id
43944,King County Census Tract 1,1
43945,King County Census Tract 2,2
43946,King County Census Tract 3,3
43948,King County Census Tract 4.01,4.01
43949,King County Census Tract 4.02,4.02
43950,King County Census Tract 5,5
43951,King County Census Tract 6,6
43952,King County Census Tract 7,7
43953,King County Census Tract 8,8
43954,King County Census Tract 9,9
43955,King County Census Tract 10,10
43956,King County Census Tract 11,11
43957,King County Census Tract 12,12
43958,King County Census Tract 13,13
43959,King County Census Tract 14,14
43960,King County Census Tract 15,15
43961,King County Census Tract 16,16
43963,King County Census Tract 17.01,17.01
43964,King County Census Tract 17.02,17.02
43965,King County Census Tract 18,18
43966,King County Census Tract 19,19
43967,King County Census Tract 20,20
43968,King County Census Tract 21,21
43969,King County Census Tract 22,22
43971,King County Census Tract 24,24
43972,King County Census Tract 25,25
43973,King County Census Tract 26,26
43974,King County Census Tract 27,27
43975,King County Census Tract 28,28
43976,King County Census Tract 29,29
43977,King County Census Tract 30,30
43978,King County Census Tract 31,31
43979,King County Census Tract 32,32
43980,King County Census Tract 33,33
43981,King County Census Tract 34,34
43982,King County Census Tract 35,35
43983,King County Census Tract 36,36
43985,King County Census Tract 38,38
43986,King County Census Tract 39,39
43987,King County Census Tract 40,40
43989,King County Census Tract 41,41
43990,King County Census Tract 42,42
43992,King County Census Tract 43.01,43.01
43993,King County Census Tract 43.02,43.02
43994,King County Census Tract 44,44
43995,King County Census Tract 45,45
43996,King County Census Tract 46,46
43997,King County Census Tract 47,47
43998,King County Census Tract 48,48
43999,King County Census Tract 49,49
44000,King County Census Tract 50,50
44001,King County Census Tract 51,51
44002,King County Census Tract 52,52
44003,King County Census Tract 53.01,53.01
44004,King County Census Tract 53.02,53.02
44005,King County Census Tract 54,54
44007,King County Census Tract 56,56
44008,King County Census Tract 57,57
44009,King County Census Tract 58.01,58.01
44010,King County Census Tract 58.02,58.02
44011,King County Census Tract 59,59
44012,King County Census Tract 60,60
44013,King County Census Tract 61,61
44014,King County Census Tract 62,62
44015,King County Census Tract 63,63
44016,King County Census Tract 64,64
44017,King County Census Tract 65,65
44018,King County Census Tract 66,66
44019,King County Census Tract 67,67
44021,King County Census Tract 68,68
44023,King County Census Tract 69,69
44024,King County Census Tract 70,70
44025,King County Census Tract 71,71
